# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 12K of event 'L1-dcache-loads'
# Event count (approx.): 5577472279
#
# Overhead  Command  Shared Object      Symbol                                
# ........  .......  .................  ......................................
#
    99.59%  main     main               [.] work_run
     0.05%  main     [kernel.kallsyms]  [k] perf_adjust_freq_unthr_context
     0.03%  main     [kernel.kallsyms]  [k] scheduler_tick
     0.02%  main     [kernel.kallsyms]  [k] read_tsc
     0.02%  main     [kernel.kallsyms]  [k] _raw_spin_lock
     0.02%  main     [kernel.kallsyms]  [k] tick_program_event
     0.02%  main     [kernel.kallsyms]  [k] _raw_spin_lock_irq
     0.02%  main     [kernel.kallsyms]  [k] fpregs_assert_state_consistent
     0.02%  main     [kernel.kallsyms]  [k] __hrtimer_run_queues
     0.02%  main     [kernel.kallsyms]  [k] notifier_call_chain
     0.02%  main     [kernel.kallsyms]  [k] __update_load_avg_se
     0.02%  main     [kernel.kallsyms]  [k] __irqentry_text_end
     0.01%  main     [kernel.kallsyms]  [k] timekeeping_advance
     0.01%  main     [kernel.kallsyms]  [k] update_vdso_data.constprop.0
     0.01%  main     [kernel.kallsyms]  [k] __rseq_handle_notify_resume
     0.01%  main     [kernel.kallsyms]  [k] hrtimer_interrupt
     0.01%  main     [kernel.kallsyms]  [k] native_write_msr
     0.01%  main     [kernel.kallsyms]  [k] update_curr
     0.01%  main     [kernel.kallsyms]  [k] nohz_balance_exit_idle
     0.01%  main     [kernel.kallsyms]  [k] ntp_get_next_leap
     0.01%  main     [kernel.kallsyms]  [k] nohz_balancer_kick
     0.01%  main     [kernel.kallsyms]  [k] task_mm_cid_work
     0.01%  main     [kernel.kallsyms]  [k] native_read_msr
     0.01%  main     [kernel.kallsyms]  [k] _raw_spin_unlock_irqrestore
     0.01%  main     [kernel.kallsyms]  [k] update_vsyscall
     0.01%  main     [kernel.kallsyms]  [k] generic_exec_single
     0.01%  main     [kernel.kallsyms]  [k] irq_work_run_list
     0.01%  main     [kernel.kallsyms]  [k] update_cfs_group
     0.01%  main     [kernel.kallsyms]  [k] psi_group_change
     0.01%  main     [kernel.kallsyms]  [k] _find_next_and_bit
     0.01%  main     [kernel.kallsyms]  [k] lapic_next_deadline
     0.01%  main     [kernel.kallsyms]  [k] perf_event_mmap_output
     0.00%  perf-ex  [kernel.kallsyms]  [k] perf_event_addr_filters_exec
     0.00%  main     [kernel.kallsyms]  [k] __schedule
     0.00%  perf-ex  [kernel.kallsyms]  [k] _raw_spin_unlock
     0.00%  main     [kernel.kallsyms]  [k] __intel_pmu_enable_all.constprop.0


# Samples: 16K of event 'L1-dcache-load-misses'
# Event count (approx.): 3470296014
#
# Overhead  Command  Shared Object      Symbol                                
# ........  .......  .................  ......................................
#
    99.95%  main     main               [.] work_run
     0.02%  main     [kernel.kallsyms]  [k] perf_adjust_freq_unthr_context
     0.01%  main     [kernel.kallsyms]  [k] _raw_spin_lock
     0.01%  main     [kernel.kallsyms]  [k] timekeeping_advance
     0.01%  main     [kernel.kallsyms]  [k] __update_load_avg_cfs_rq
     0.00%  main     [kernel.kallsyms]  [k] copy_page
     0.00%  main     [kernel.kallsyms]  [k] restore_fpregs_from_fpstate
     0.00%  perf-ex  [kernel.kallsyms]  [k] perf_event_exec
     0.00%  main     [kernel.kallsyms]  [k] __schedule
     0.00%  perf-ex  [kernel.kallsyms]  [k] _raw_spin_unlock
     0.00%  main     [kernel.kallsyms]  [k] __intel_pmu_enable_all.constprop.0


# Samples: 2K of event 'L1-dcache-stores'
# Event count (approx.): 11539541
#
# Overhead  Command  Shared Object      Symbol                                
# ........  .......  .................  ......................................
#
    48.12%  main     main               [.] work_run
     6.26%  main     [kernel.kallsyms]  [k] __rcu_read_unlock
